Pair,Period,Magic
USDCHF,M15,8139101
GBPUSD,M15,8139102
EURUSD,M15,8139103
USDJPY,M15,8139104
USDCAD,M15,8139105
AUDUSD,M15,8139106
EURGBP,M15,8139107
EURAUD,M15,8139108
EURCHF,M15,8139109
EURJPY,M15,8139110
GBPCHF,M15,8139111
CADJPY,M15,8139112
GBPJPY,M15,8139113
AUDNZD,M15,8139114
AUDCAD,M15,8139115
AUDCHF,M15,8139116
AUDJPY,M15,8139117
CHFJPY,M15,8139118
EURNZD,M15,8139119
EURCAD,M15,8139120
CADCHF,M15,8139121
NZDJPY,M15,8139122
NZDUSD,M15,8139123
GBPAUD,M15,8139124
GBPCAD,M15,8139125
NZDCHF,M15,8139126
GBPNZD,M15,8139127
NZDCAD,M15,8139128
